Name,Team,Cl,Ht,Pos,Games,GoalieGames,TotalGoals,GoalsPerGame,TotalAssists,AssistsPerGame,TotalPoints,PointsPerGame,GameWinningGoals,ShotAttempts,ShotsPerGame,ShotsOnGoal,ShotsOnGoalPerGame,ShotAccuracyPct,PKGoals,PKAttempts,PKPct,YellowCards,RedCards,TotalSaves,SavesPerGame,SavePct,Shutouts,GoalieMinutes,GoalsAgainst,GAA
Mamadou Diarra,Fla. Atlantic,Sr.,5-10,F,18,,9,0.50,7,0.39,25,1.39,3,,,,,,,,,0,0,,,,,,,
Clarence Awoudor,UCF,Sr.,5-7,FM,21,,7,,15,0.71,29,1.38,,62,2.95,28,1.33,0.452,1,2,0.500,3,0,,,,,,,
Blake D'Agostino,California Baptist,So.,6-2,F,16,,10,0.63,2,,22,1.38,,34,,19,1.19,0.559,5,5,1.000,5,0,,,,,,,
Joe Highfield,Portland,So.,6-4,F,20,,11,0.55,5,,27,1.35,4,46,2.30,26,1.30,0.565,1,2,0.500,0,0,,,,,,,
Stephan Soghomonian,SMU,So.,5-10,F,20,,13,0.65,1,,27,1.35,4,46,2.30,25,1.25,0.543,5,5,1.000,0,0,,,,,,,
Stefan Dobrijevic,Akron,Sr.,6-2,F,21,,8,0.38,12,0.57,28,1.33,3,51,2.43,22,1.05,0.431,4,5,0.800,0,0,,,,,,,
Nicholas Simmonds,Virginia,Fr.,6-4,F,19,,10,0.53,5,,25,1.32,3,49,2.58,,,,1,1,1.000,3,0,,,,,,,
Daniel Ittycheria,Princeton,Sr.,6-2,F,16,,9,0.56,3,,21,1.31,4,60,3.75,22,1.38,0.367,4,4,1.000,0,1,,,,,,,
Fabio Bozesan,South Fla.,Sr.,-,F,17,,8,0.47,6,0.35,22,1.29,,40,2.35,17,1.00,0.425,,,,0,0,,,,,,,
Trace Terry,Bowling Green,Sr.,6-2,F,17,,10,0.59,2,,22,1.29,4,51,3.00,26,1.53,0.510,3,3,1.000,5,0,,,,,,,
Sean Albritton,Fairfield,Fr.,-,F,14,,9,0.64,0,,18,1.29,4,35,2.50,17,1.21,0.486,,,,0,1,,,,,,,
Lewis Rourke,Old Dominion,Jr.,6-2,F,18,,10,0.56,3,,23,1.28,,36,,21,1.17,0.583,,,,0,0,,,,,,,
Diego Hernandez,Furman,Jr.,5-9,M,23,,10,0.43,9,0.39,29,1.26,3,50,2.17,,,,2,2,1.000,3,0,,,,,,,
Charlie Kosakoff,Washington,Jr.,5-11,F,23,,11,0.48,7,0.30,29,1.26,5,60,2.61,28,1.22,0.467,0,1,0.000,3,1,,,,,,,
Angel Iniguez,San Jose St.,Sr.,5-6,M,20,,9,0.45,7,0.35,25,1.25,3,47,2.35,,,,1,1,1.000,3,0,,,,,,,
Arnold Matshazi,San Jose St.,So.,5-9,F,20,,12,0.60,1,,25,1.25,6,41,,20,1.00,0.488,,,,3,0,,,,,,,
Arnau Rabassa Guillamon,FDU,Sr.,-,M,20,,11,0.55,3,,25,1.25,5,,,,,,,,,0,0,,,,,,,
Daniel D'Ippolito,Fordham,Sr.,5-11,M,17,,6,0.35,9,0.53,21,1.24,3,56,3.29,21,1.24,0.375,1,2,0.500,6,1,,,,,,,
Ricky Louis,Ga. Southern,So.,6-2,F,17,,9,0.53,3,,21,1.24,4,49,2.88,20,1.18,0.408,1,3,0.333,0,1,,,,,,,
Jaime Amaro,Bryant,Fr.,5-7,-,22,,10,0.45,7,0.32,27,1.23,4,,,22,1.00,,1,1,1.000,0,0,,,,,,,
Samson Kpardeh,Gardner-Webb,So.,5-8,M,18,,9,0.50,4,,22,1.22,4,60,3.33,31,1.72,0.517,0,1,0.000,4,0,,,,,,,
Nathan Simes,Wofford,Jr.,6-1,F,18,,8,0.44,6,0.33,22,1.22,,51,2.83,31,1.72,0.608,2,2,1.000,0,0,,,,,,,
Enzo Dovlo,UNC Greensboro,Jr.,6-0,F,23,,10,0.43,8,0.35,28,1.22,3,67,2.91,33,1.43,0.493,,,,3,0,,,,,,,
David Ismail,Vermont,Sr.,6-4,F,19,,10,0.53,3,,23,1.21,4,52,2.74,22,1.16,0.423,,,,0,0,,,,,,,
Oskar Kaufmann,USC Upstate,So.,6-2,F,19,,11,0.58,1,,23,1.21,,,,20,1.05,,1,1,1.000,4,0,,,,,,,
Sadam Masereka,Maryland,Sr.,5-9,F,19,,9,0.47,5,,23,1.21,,45,2.37,19,1.00,0.422,1,1,1.000,0,0,,,,,,,
David Ajagbe,Portland,So.,6-1,F,20,,10,0.50,4,,24,1.20,5,52,2.60,24,1.20,0.462,,,,0,0,,,,,,,
Brando Bedolla,Longwood,So.,5-9,F,15,,6,0.40,6,0.40,18,1.20,,36,2.40,16,1.07,0.444,0,1,0.000,0,1,,,,,,,
Austin Brummett,UConn,Sr.,6-0,F,20,,10,0.50,4,,24,1.20,4,40,,18,,0.450,,,,5,1,,,,,,,
Andres Escudero,Evansville,Fr.,6-1,F,20,,11,0.55,2,,24,1.20,,,,21,1.05,,1,1,1.000,0,0,,,,,,,
Jeremy Francou,Kansas City,Jr.,6-0,F,21,,11,0.52,3,,25,1.19,4,51,2.43,21,1.00,0.412,2,2,1.000,0,0,,,,,,,
Pablo Pozos,West Virginia,Jr.,6-0,F,21,,11,0.52,3,,25,1.19,,,,26,1.24,,,,,0,0,,,,,,,
Evan Howard,SIUE,Sr.,6-5,F,16,,8,0.50,3,,19,1.19,,50,3.13,24,1.50,0.480,2,4,0.500,3,0,,,,,,,
Drew Pedersen,Gonzaga,Jr.,6-1,F,16,,7,0.44,5,0.31,19,1.19,,,,,,,,,,0,0,,,,,,,
Fumiya Shiraishi,Missouri St.,Sr.,5-7,F,16,,8,0.50,3,,19,1.19,,38,2.38,17,1.06,0.447,1,1,1.000,0,0,,,,,,,
Ethan Ballek,South Carolina,Sr.,6-0,M,17,,8,0.47,4,,20,1.18,,58,3.41,19,1.12,,1,1,1.000,5,0,,,,,,,
Johan Nissen-Lie,Bellarmine,So.,6-3,F,17,,10,0.59,0,,20,1.18,,49,2.88,22,1.29,0.449,2,2,1.000,0,0,,,,,,,
David Raphael,San Francisco,So.,5-8,F,17,,8,0.47,4,,20,1.18,3,43,2.53,21,1.24,0.488,3,3,1.000,3,0,,,,,,,
Stephane Njike,Maryland,So.,5-10,F,18,,7,0.39,7,0.39,21,1.17,4,54,3.00,22,1.22,0.407,,,,0,1,,,,,,,
Ryan Okerayi,Houston Christian,Jr.,6-3,F,18,,9,0.50,3,,21,1.17,4,49,2.72,28,1.56,0.571,4,4,1.000,4,0,,,,,,,
Dagur Traustason,Virginia Tech,Fr.,-,F,12,,7,0.58,0,,14,1.17,3,,,12,1.00,,,,,0,0,,,,,,,
Iain Wagner,San Diego,So.,5-9,M,19,,9,0.47,4,,22,1.16,4,,,,,,,,,0,0,,,,,,,
Nacho Abeal,North Carolina,Sr.,5-8,M,20,,7,0.35,9,0.45,23,1.15,,51,2.55,26,1.30,0.510,1,1,1.000,0,0,,,,,,,
Kyle McGowan,Denver,Jr.,6-3,F,22,,11,0.50,3,,25,1.14,3,,,,,,2,3,0.667,0,0,,,,,,,
Arnaud Tattevin,UNC Greensboro,Jr.,5-10,F,23,,12,0.52,2,,26,1.13,5,46,,20,,0.435,2,2,1.000,4,0,,,,,,,
Kyle Evans,Marist,Jr.,-,M,16,,7,0.44,4,,18,1.13,,49,3.06,23,1.44,0.469,,,,0,0,,,,,,,
Philipp Kühn,Vermont,Fr.,6-3,F,16,,7,0.44,4,,18,1.13,,,,,,,1,1,1.000,0,0,,,,,,,
Fran Cortijo,Oregon St.,Sr.,5-11,D,17,,7,0.41,5,0.29,19,1.12,,39,2.29,20,1.18,0.513,,,,0,0,,,,,,,
Nathan Richmond,Clemson,Sr.,5-7,M,17,,7,0.41,5,0.29,19,1.12,3,39,2.29,16,,0.410,,,,0,0,,,,,,,
Taylor Rogers,Utah Tech,So.,5-10,F,17,,7,0.41,5,0.29,19,1.12,,,,,,,2,2,1.000,0,0,,,,,,,
Ethan Sassine,Dayton,Sr.,5-10,F,17,,8,0.47,3,,19,1.12,,49,2.88,19,1.12,0.388,1,2,0.500,0,1,,,,,,,
Iann Topete,Purdue Fort Wayne,Sr.,5-11,F,17,,8,0.47,3,,19,1.12,,43,2.53,25,1.47,0.581,,,,4,0,,,,,,,
Arnau Vilamitjana,Pittsburgh,Sr.,6-2,M,17,,8,0.47,3,,19,1.12,,35,,13,,0.371,1,2,0.500,5,0,,,,,,,
Guilherme Gomes,St. John's (NY),Fr.,6-2,D,18,,9,0.50,2,,20,1.11,3,,,17,0.94,,2,2,1.000,3,0,,,,,,,
Wilfer Bustamante,Furman,So.,5-8,F,23,,8,,9,0.39,25,1.09,3,,,,,,,,,0,0,,,,,,,
Theo Klein,Omaha,Sr.,5-11,F,12,,6,0.50,1,,13,1.08,3,,,,,,2,2,1.000,0,0,,,,,,,
Angel Lopez Martin,Coastal Carolina,Fr.,6-2,F,12,,5,0.42,3,,13,1.08,,,,,,,,,,0,0,,,,,,,
Sam Montalto,Providence,Sr.,6-3,F,12,,5,0.42,3,,13,1.08,,,,,,,,,,0,0,,,,,,,
William Fagerberg,Manhattan,So.,6-0,M,14,,7,0.50,1,,15,1.07,,39,2.79,19,1.36,0.487,0,1,0.000,3,1,,,,,,,
Loed Klaasen,Coastal Carolina,Sr.,6-1,M,14,,4,,7,0.50,15,1.07,,30,2.14,11,,0.367,,,,4,0,,,,,,,
Niv Berkovitz,Santa Clara,Jr.,5-8,M,15,,6,0.40,4,,16,1.07,3,,,,,,,,,0,0,,,,,,,
Johannes Hanken Tjostheim,Boston College,Sr.,6-2,F,15,,8,0.53,0,,16,1.07,,,,,,,,,,0,0,,,,,,,
Danny Istambouli,Sacred Heart,Jr.,5-9,M,15,,6,0.40,4,,16,1.07,,,,,,,,,,0,0,,,,,,,
Martim Sereno,George Mason,So.,5-9,F,16,,6,0.38,5,0.31,17,1.06,,,,,,,,,,4,0,,,,,,,
Keegan Walker,Green Bay,Jr.,5-9,M,16,,6,0.38,5,0.31,17,1.06,3,37,2.31,16,1.00,0.432,1,1,1.000,0,0,,,,,,,
Alex Ruiz,Kentucky,Sr.,6-0,M,17,,7,0.41,4,,18,1.06,,,,,,,,,,0,0,,,,,,,
Joschi Schelb,Rutgers,Jr.,6-0,M,17,,7,0.41,4,,18,1.06,,55,3.24,22,1.29,0.400,0,1,0.000,0,0,,,,,,,
David Garcia Gallego,Sacred Heart,Sr.,5-9,M,18,,6,,7,0.39,19,1.06,,48,2.67,,,,,,,0,0,,,,,,,
Matteo Landais,Lindenwood,Sr.,6-0,M,18,,5,,9,0.50,19,1.06,3,38,,15,,0.395,,,,0,1,,,,,,,
Kenan Hot,Duke,Sr.,5-11,M,19,,8,0.42,4,,20,1.05,,48,2.53,19,1.00,0.396,0,1,0.000,5,0,,,,,,,
Finlay Oliver,Stony Brook,Jr.,6-5,F,19,,8,0.42,4,,20,1.05,,,,18,0.95,,,,,4,0,,,,,,,
Miguel Arilla,Creighton,Jr.,5-8,M,16,,6,0.38,4,,16,1.00,,37,2.31,17,1.06,0.459,2,2,1.000,0,0,,,,,,,
Elias Arsvoll,Charlotte,So.,6-3,F,16,,6,0.38,4,,16,1.00,,,,,,,1,1,1.000,0,0,,,,,,,
Martin Bakken,Dayton,Jr.,6-1,M,18,,8,0.44,2,,18,1.00,3,40,2.22,17,0.94,0.425,,,,0,0,,,,,,,
Eduardo De Oliveira,UTRGV,Jr.,5-10,M,10,,5,0.50,0,,10,1.00,,,,,,,,,,3,0,,,,,,,
Jakob Friedman,Monmouth,Sr.,5-8,F,16,,4,,8,0.50,16,1.00,,38,2.38,20,1.25,0.526,,,,0,0,,,,,,,
Liam Gainey,Western Ill.,Sr.,6-0,F,16,,7,0.44,2,,16,1.00,,34,,19,1.19,0.559,2,2,1.000,0,1,,,,,,,
Tate Lorentz,Wake Forest,Jr.,5-11,FM,17,,6,0.35,5,0.29,17,1.00,,,,,,,1,1,1.000,0,0,,,,,,,
Luka Lukic,California,Sr.,6-3,F,18,,8,0.44,2,,18,1.00,,41,2.28,21,1.17,0.512,2,2,1.000,3,0,,,,,,,
Oliver Moller-Jensen,Fla. Atlantic,Jr.,5-9,F,18,,6,,6,0.33,18,1.00,,40,2.22,17,0.94,0.425,1,1,1.000,0,0,,,,,,,
Zach Ramsey,Washington,So.,5-10,M,24,,8,,8,0.33,24,1.00,,,,,,,,,,0,0,,,,,,,
Sivert Ryssdalsnes,Quinnipiac,So.,-,M,18,,7,0.39,4,,18,1.00,,50,2.78,21,1.17,0.420,3,3,1.000,0,0,,,,,,,
Jacobo Sanfeliu,George Mason,Sr.,6-0,F,16,,7,0.44,2,,16,1.00,3,38,2.38,14,,0.368,1,1,1.000,0,0,,,,,,,
Vance Sheffield,NIU,Fr.,6-0,F,17,,6,0.35,5,0.29,17,1.00,,41,2.41,19,1.12,0.463,0,1,0.000,0,0,,,,,,,
Alessandro Arlotti,Duke,Sr.,6-0,F,20,,7,0.35,5,,19,0.95,,,,,,,1,1,1.000,0,0,,,,,,,
Diego Rosas,Portland,Jr.,-,F,20,,2,,15,0.75,19,0.95,,,,,,,,,,0,0,,,,,,,
Martin Kozak,Elon,Jr.,5-11,M,19,,5,,8,0.42,18,0.95,,,,,,,3,4,0.750,0,0,,,,,,,
Joby Reid,Houston Christian,Fr.,6-0,F,19,,6,,6,0.32,18,0.95,,,,,,,,,,0,0,,,,,,,
Steven Ramirez,San Diego,Jr.,5-11,F,18,,8,0.44,1,,17,0.94,,,,20,1.11,,,,,0,1,,,,,,,
Drew Roskos,Bucknell,So.,5-8,F,18,,8,0.44,1,,17,0.94,,52,2.89,27,1.50,0.519,,,,0,0,,,,,,,
Emil Seedorff Sorensen,Ga. Southern,Fr.,6-1,M,18,,7,0.39,3,,17,0.94,3,,,,,,0,1,0.000,0,0,,,,,,,
Junior Casillas,Mercer,Sr.,6-0,M,17,,6,0.35,4,,16,0.94,,,,,,,,,,0,0,,,,,,,
Matt Cence,Massachusetts,Sr.,-,M,17,,5,,6,0.35,16,0.94,,46,2.71,20,1.18,0.435,,,,0,0,,,,,,,
Mitch Coughlon,Bradley,Jr.,6-2,F,17,,7,0.41,2,,16,0.94,,,,18,1.06,,1,1,1.000,0,0,,,,,,,
Samir-Mohamed Djeha,Georgia St.,So.,6-1,F,17,,6,0.35,4,,16,0.94,,,,20,1.18,,,,,0,0,,,,,,,
Brady Geho,UMBC,So.,6-3,F,17,,7,0.41,2,,16,0.94,,45,2.65,20,1.18,0.444,2,2,1.000,0,0,,,,,,,
Anass Hadran,Robert Morris,Sr.,5-7,M,17,,6,0.35,4,,16,0.94,,,,,,,1,2,0.500,0,0,,,,,,,
Aboubacar Traore,Fla. Atlantic,Jr.,5-9,M,17,,4,,8,0.47,16,0.94,,,,,,,,,,3,0,,,,,,,
Misei Yoshizawa,Clemson,Sr.,5-8,M,17,,6,0.35,4,,16,0.94,,,,,,,,,,0,0,,,,,,,
Brayden Beason,San Francisco,So.,6-2,F,16,,7,0.44,1,,15,0.94,,38,2.38,16,1.00,0.421,,,,4,0,,,,,,,
Troy Elgersma,American,Sr.,6-3,M,16,,7,0.44,1,,15,0.94,,,,,,,3,3,1.000,0,0,,,,,,,
Archie Hatcher,Holy Cross,Fr.,5-11,F,16,,6,0.38,3,,15,0.94,,38,2.38,18,1.13,0.474,,,,0,0,,,,,,,
Denis Krioutchenkov,Charlotte,Sr.,6-3,F,16,,7,0.44,1,,15,0.94,3,57,3.56,28,1.75,0.491,,,,3,0,,,,,,,
Mikkel Lejbowicz,Seton Hall,So.,6-2,F,16,,7,0.44,1,,15,0.94,,36,2.25,15,,0.417,,,,0,0,,,,,,,
Rodrigo Mendes,UNC Asheville,Sr.,5-6,F,16,,5,,5,0.31,15,0.94,,40,2.50,20,1.25,0.500,2,2,1.000,0,0,,,,,,,
Isaac Emojong,Utah Valley,So.,6-2,FM,15,,6,0.40,2,,14,0.93,,41,2.73,20,1.33,0.488,,,,0,0,,,,,,,
Maximilian Kissel,Vermont,Sr.,6-0,F,15,,5,,4,,14,0.93,,,,,,,,,,0,0,,,,,,,
David Davila,Southern Ind.,So.,6-3,F,14,,6,0.43,1,,13,0.93,,,,14,1.00,,2,3,0.667,0,0,,,,,,,
Gijs Verheul,Marist,So.,6-4,D,14,,6,0.43,1,,13,0.93,,33,2.36,18,1.29,0.545,,,,0,0,,,,,,,
Richie Aman,Washington,Sr.,5-9,M,24,,4,,14,0.58,22,0.92,,,,,,,,,,0,0,,,,,,,
Luca Bartoni,Lindenwood,Sr.,6-1,F,21,,7,,5,,19,0.90,,,,,,,,,,3,0,,,,,,,
Brendan Krueger,High Point,Sr.,5-11,M,20,,5,,8,0.40,18,0.90,,,,,,,,,,0,0,,,,,,,
Zach Lifferth,Liberty,Sr.,6-0,F,20,,8,0.40,2,,18,0.90,,,,,,,,,,0,0,,,,,,,
Ethan Roberts,Campbell,Sr.,6-1,F,20,,8,0.40,2,,18,0.90,,,,,,,3,4,0.750,4,0,,,,,,,
Myles Culley,Davidson,Jr.,6-0,FM,19,,7,0.37,3,,17,0.89,,,,,,,,,,3,0,,,,,,,
Alvaro Maneiro,Iona,So.,5-10,M,18,,7,0.39,2,,16,0.89,,53,2.94,27,1.50,0.509,2,2,1.000,0,0,,,,,,,
Albi Ndrenika,Maryland,Sr.,5-10,M,18,,4,,8,0.44,16,0.89,3,,,,,,,,,0,0,,,,,,,
Vitalis Takawira Jr,USC Upstate,Sr.,5-8,F,18,,3,,10,0.56,16,0.89,,,,,,,,,,3,0,,,,,,,
Brock Kiper,Belmont,Jr.,6-5,F,17,,6,0.35,3,,15,0.88,3,,,,,,2,2,1.000,0,0,,,,,,,
Robbie Lyons,Gardner-Webb,Sr.,-,M,17,,5,,5,0.29,15,0.88,,43,2.53,,,,1,2,0.500,0,0,,,,,,,
Ivan Morcillo,Sacred Heart,So.,5-11,F,17,,7,0.41,1,,15,0.88,,37,2.18,22,1.29,0.595,1,2,0.500,5,0,,,,,,,
Brandon Nyagurungo,South Fla.,Sr.,6-0,F,17,,6,0.35,3,,15,0.88,,,,,,,1,1,1.000,0,0,,,,,,,
Jack Stainrod,LIU,Sr.,6-2,F,17,,3,,9,0.53,15,0.88,,38,2.24,18,1.06,0.474,,,,3,0,,,,,,,
Niklas Thanhofer,LIU,Sr.,6-1,D,17,,7,0.41,1,,15,0.88,,,,,,,,,,0,0,,,,,,,
Kenshin Akimoto,Radford,Jr.,5-10,F,16,,6,0.38,2,,14,0.88,,,,,,,,,,0,0,,,,,,,
Ivar Orri Gissurarson,UAlbany,Jr.,6-5,M,16,,6,0.38,2,,14,0.88,,34,,20,1.25,0.588,,,,5,0,,,,,,,
Mathis Guffroy,St. Thomas (MN),Sr.,-,F,16,,5,,4,,14,0.88,3,50,3.13,25,1.56,0.500,1,2,0.500,0,0,,,,,,,
Declan Quill,Virginia Tech,Sr.,6-2,F,16,,5,,4,,14,0.88,,44,2.75,21,1.31,0.477,,,,0,0,,,,,,,
Reon Tezuka,Niagara,Jr.,-,F,16,,6,0.38,2,,14,0.88,4,,,,,,0,1,0.000,0,0,,,,,,,
Mitch Budler,Akron,Sr.,6-4,GK,21,21,,,,,,,,,,,,,,,,0,0,47,,0.758,13,1890:00,15,0.714
Logan Erb,NC State,Sr.,6-3,GK,23,23,,,,,,,,,,,,,,,,0,0,58,,0.817,12,2004:08,13,0.584
Jackson Leavitt,Elon,Sr.,6-0,GK,19,19,,,,,,,,,,,,,,,,0,0,59,3.11,0.843,12,1730:00,11,0.572
Andrew Samuels,Princeton,Jr.,6-4,GK,19,19,,,,,,,,,,,,,,,,0,0,61,3.21,0.897,12,1704:27,7,0.370
Jeremi Abonnel,Saint Louis,Sr.,6-0,GK,24,24,,,,,,,,,,,,,,,,4,0,67,,0.779,11,2213:50,19,0.772
Ryan Friedberg,Cornell,Sr.,6-5,GK,20,,,,,,,,,,,,,,,,,0,0,39,,0.736,10,1790:51,14,0.704
Niklas Herceg,Vermont,So.,6-6,GK,20,20,,,,,,,,,,,,,,,,0,0,55,,0.786,10,1814:01,15,0.744
Alan Horrocks,Gardner-Webb,Sr.,-,GK,18,18,,,,,,,,,,,,,,,,0,0,44,,0.746,10,1620:00,15,0.833
Alex Aitken,Houston Christian,Sr.,6-0,GK,19,19,,,,,,,,,,,,,,,,0,0,77,4.05,0.846,9,1720:21,14,0.732
Josh Caron,High Point,Sr.,6-0,GK,20,20,,,,,,,,,,,,,,,,0,0,62,3.10,0.805,9,1781:58,15,0.758
Enzo Carvalho,Bryant,Sr.,6-5,GK,18,18,,,,,,,,,,,,,,,,0,0,45,,0.776,9,1640:00,13,0.713
JoJo Elliott,Delaware,Fr.,6-3,GK,16,16,,,,,,,,,,,,,,,,0,0,53,3.31,0.828,9,1440:00,11,0.688
Isaiah Goldson,Michigan,Jr.,6-0,GK,20,20,,,,,,,,,,,,,,,,0,0,56,,0.747,9,1800:00,19,0.950
Miguel-Angel Hernandez,Portland,Jr.,6-0,GK,19,19,,,,,,,,,,,,,,,,0,0,44,,0.786,9,1730:00,12,0.624
Tomas Hut,Syracuse,Sr.,6-3,GK,20,20,,,,,,,,,,,,,,,,0,0,76,3.80,0.768,9,1800:00,23,1.150
Gavin Krenecki,Dayton,Sr.,5-11,GK,17,17,,,,,,,,,,,,,,,,0,0,58,3.41,0.841,9,1550:00,11,0.639
Laurin Mack,Maryland,So.,6-1,GK,19,19,,,,,,,,,,,,,,,,0,0,61,3.21,0.772,9,1730:00,18,0.936
Nicky McCune,Cal Poly,Sr.,6-2,GK,20,20,,,,,,,,,,,,,,,,0,0,57,2.85,0.792,9,1788:19,15,0.755
Luciano Natoli,North Florida,Jr.,6-0,GK,18,18,,,,,,,,,,,,,,,,0,0,60,3.33,0.759,9,1661:16,19,1.029
Eric Widrick,Colgate,Sr.,6-1,GK,17,17,,,,,,,,,,,,,,,,0,0,81,4.76,0.827,9,1530:00,17,1.000
Lucca Adams,San Diego,So.,6-1,GK,14,,,,,,,,,,,,,,,,,0,0,18,,0.692,8,1244:04,8,0.579
Eric Axtman,Lafayette,Sr.,6-1,GK,21,21,,,,,,,,,,,,,,,,0,0,71,3.38,0.763,8,1911:54,22,1.036
Marc Bonnaire,West Virginia,Sr.,6-3,GK,21,21,,,,,,,,,,,,,,,,0,0,50,,,8,1888:22,25,1.192
Sebastian Conlon,Kentucky,Sr.,6-2,GK,19,19,,,,,,,,,,,,,,,,0,0,56,2.95,0.757,8,1743:50,18,0.929
Andrew Cordes,North Carolina,Sr.,6-2,GK,20,20,,,,,,,,,,,,,,,,0,0,47,,0.734,8,1840:00,17,0.832
Dorian Drucks,CSUN,Jr.,6-3,GK,17,17,,,,,,,,,,,,,,,,0,0,74,4.35,0.851,8,1530:00,13,0.765
Kyle Durham,UConn,So.,6-3,GK,21,21,,,,,,,,,,,,,,,,0,0,98,4.67,0.803,8,1890:00,24,1.143
Eryk Dymora,Duke,Sr.,6-3,GK,19,,,,,,,,,,,,,,,,,0,0,42,,0.724,8,1665:00,16,0.865
Edgar Guerra,San Jose St.,Sr.,6-3,GK,18,18,,,,,,,,,,,,,,,,0,1,45,,0.714,8,1584:07,18,1.023
Ivan Horvat,Furman,So.,6-3,GK,21,21,,,,,,,,,,,,,,,,0,0,66,3.14,0.786,8,1862:35,18,0.870
